Target,Drug,NCT_ID,URL,Phase,Status,Outcome_type,Biomarker_category,Measure,Time_frame,Conditions,PD_neuro
DDC,Carbidopa,NCT04513340,https://clinicaltrials.gov/study/NCT04513340,Phase 1,Unknown,primary,PK,Cmax,Day 1 and Day 2,Parkinson Disease,Yes
DDC,Carbidopa,NCT04513340,https://clinicaltrials.gov/study/NCT04513340,Phase 1,Unknown,primary,PK,AUC0-t,Day 1 and Day 2,Parkinson Disease,Yes
DDC,Carbidopa,NCT04513340,https://clinicaltrials.gov/study/NCT04513340,Phase 1,Unknown,primary,PK,AUC0-∞,Day 1 and Day 2,Parkinson Disease,Yes
DDC,Carbidopa,NCT04591535,https://clinicaltrials.gov/study/NCT04591535,Phase 1,Unknown,primary,PK,Cmax,Day 1 and Day 2,Parkinson Disease,Yes
DDC,Carbidopa,NCT04591535,https://clinicaltrials.gov/study/NCT04591535,Phase 1,Unknown,primary,PK,AUC,Day 1 and Day 2,Parkinson Disease,Yes
DDC,Carbidopa,NCT04778176,https://clinicaltrials.gov/study/NCT04778176,Phase 2,Completed,primary,PK,Variability in plasma concentration of levodopa as assessed with the Levodopa Fluctuation Index (Cmax-Cmin)/Caverage),pre-dose and every 30 minutes for 12 hou,Parkinson's Disease,Yes
DDC,Carbidopa,NCT04778176,https://clinicaltrials.gov/study/NCT04778176,Phase 2,Completed,secondary,PK,Variability in plasma concentration of levodopa as assessed with the Levodopa Fluctuation Index (Cmax-Cmin)/Caverage).,pre-dose and every 30 minutes for 12 hou,Parkinson's Disease,Yes
DDC,Carbidopa,NCT04778176,https://clinicaltrials.gov/study/NCT04778176,Phase 2,Completed,secondary,PK,Levodopa and Carbidopa peak plasma concentration (Cmax),pre-dose and every 30 minutes for 12 hou,Parkinson's Disease,Yes
DDC,Carbidopa,NCT04778176,https://clinicaltrials.gov/study/NCT04778176,Phase 2,Completed,secondary,PK,Levodopa and Carbidopa time to maximum plasma concentration (Tmax),pre-dose and every 30 minutes for 12 hou,Parkinson's Disease,Yes
DDC,Carbidopa,NCT04778176,https://clinicaltrials.gov/study/NCT04778176,Phase 2,Completed,secondary,PK,Levodopa and Carbidopa area under the plasma concentration versus time curve (AUC),pre-dose and every 30 minutes for 12 hou,Parkinson's Disease,Yes
